date,state,city_or_county,address,latitude,longitude,congressional_district,state_house_district,state_senate_district,participant_age1,participant_age_group1,participant_gender1,min_age_participants,avg_age_participants,max_age_participants,n_participants_child,n_participants_teen,n_participants_adult,n_males,n_females,n_killed,n_injured,n_arrested,n_unharmed,n_participants,notes,incident_characteristics1,incident_characteristics2,povertyPercentage,party,candidatevotes,totalvotes,year,city
2015-04-28,Maine,Skowhegan,12 McLellan Street,44.7576,-69.7232,2.0,85.0,26.0,24.0,Adult 18+,Male,24.0,24.0,24.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,"Trinity Men's Shelter, loaded Hipoint 45 cal pistol, threatened senior pastor, no shots fired, found in truck",Non-Shooting Incident,Possession (gun(s) found during commission of other crimes),12.3,,,,2015,
2016-10-20,New York,White Plains (Greenburgh),290 Tarrytown Road,41.0416,-73.7921,17.0,92.0,35.0,25.0,Adult 18+,Male,25.0,25.0,25.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,,1.0,"Wanted on parole violation, gun, drugs found in vehicle.",Non-Shooting Incident,ATF/LE Confiscation/Raid/Arrest,11.8,DEMOCRAT,193819.0,325571.0,2016,City of White Plains
2017-06-05,Utah,Salt Lake City (Millcreek),4366 1500 E,40.6765,-111.849,4.0,40.0,4.0,15.0,Teen 12-17,Male,15.0,15.0,15.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,2.0,"Drug deal gone awry;
40.676522, -111.849459 ;",Shot - Wounded/Injured,Gang involvement,7.6,,,,2017,
2017-10-31,New Hampshire,Swanzey,Holbrook Ave,42.8578,-72.3231,2.0,212.0,10.0,,Adult 18+,Female,,,,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,near the local rail trail,"Shot - Dead (murder, accidental, suicide)",,5.6,,,,2017,
2015-02-02,Pennsylvania,Hummelstown (South Hanover),100 block of Grandview Dr,40.2815,-76.7069,15.0,105.0,15.0,59.0,Adult 18+,Male,36.0,48.0,59.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,2.0,"OIS, shooting ruled NOT justified. OFFICER CHARGED WITH CRIMINAL HOMICIDE 03/24/15. Federal judge 1/11/16 refused plea to dismiss civil rights lawsuit.","Shot - Dead (murder, accidental, suicide)",Officer Involved Incident,11.5,,,,2015,South Hanover Township
2016-07-07,Missouri,Saint Joseph (St Joseph),200 block of Highland Avenue,39.784,-94.8509,6.0,10.0,34.0,,Adult 18+,Male,,,,0.0,0.0,3.0,,,0.0,2.0,1.0,0.0,,"dv with female, shot 2 neighbors that assist",Shot - Wounded/Injured,Domestic Violence,11.9,REPUBLICAN,238388.0,350444.0,2016,Saint Joseph
2014-05-13,Utah,Ogden Canyon,,41.2535,-111.844,1.0,8.0,19.0,21.0,Adult 18+,Male,21.0,21.0,21.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,2.0,,Shot - Wounded/Injured,Accidental Shooting,9.3,REPUBLICAN,84231.0,130034.0,2014,
2016-08-21,New York,Cortlandt Manor,Ely Avenue,41.3119,-73.8753,17.0,95.0,40.0,56.0,Adult 18+,Male,56.0,56.0,56.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,"Domestic viol. call, man fired AR15 toward occupied homes; charged w/criminal possession of a weapon and reckless endangerment, both as felonies",Shots Fired - No Injuries,Domestic Violence,11.8,DEMOCRAT,193819.0,325571.0,2016,
2017-10-24,Massachusetts,Holliston,746 Washington St,42.2007,-71.4294,5.0,125.0,15.0,,Adult 18+,Male,,,,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,Armed bank robbers on loose led to lockdowns at several schools,Institution/Group/Business,Non-Shooting Incident,9.2,,,,2017,
2015-09-28,Ohio,Cincinnati (Woodlawn),Faxon Court,39.2553,-84.4778,2.0,33.0,9.0,17.0,Teen 12-17,Male,17.0,17.0,17.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,"Mother reports teen son took her gun; Glenview Gardens Park school briefly closed, Woodlawn Elementary locked down during search; apprehended, gun recovered;",Non-Shooting Incident,Officer Involved Incident,13.3,,,,2015,
2017-12-18,New Jersey,Egg Harbor City (Egg Harbor),100 block of Philadelphia Ave,39.5288,-74.6472,2.0,2.0,2.0,22.0,Adult 18+,Male,21.0,22.0,22.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,drugs and guns found during traffic stop,Non-Shooting Incident,Non-Aggression Incident,8.2,,,,2017,
2014-08-26,Florida,Milton (Pace),Keyser Lane,30.6082,-87.1151,1.0,3.0,2.0,24.0,Adult 18+,Male,20.0,22.0,24.0,,,,2.0,0.0,1.0,0.0,1.0,0.0,,pulled trigger thinking shotgun was empty; 1 killed,"Shot - Dead (murder, accidental, suicide)",Accidental Shooting,15.2,REPUBLICAN,165086.0,235343.0,2014,
2015-08-30,Michigan,Covert,82nd St,42.2507,-86.3391,6.0,66.0,26.0,27.0,Adult 18+,Male,27.0,27.0,27.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,"Son got in argument with mother, shot at her house. one shot hit her car.",Shots Fired - No Injuries,Domestic Violence,12.2,,,,2015,
2014-08-07,New Jersey,Monroe Township,,40.3355,-74.4381,12.0,14.0,14.0,24.0,Adult 18+,Male,24.0,34.0,52.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,3.0,3.0,,Possession (gun(s) found during commission of other crimes),,10.7,DEMOCRAT,90430.0,148366.0,2014,
2017-10-10,North Carolina,Swanquarter,Swindell Forest Rd,35.4226,-76.3182,3.0,6.0,1.0,33.0,Adult 18+,Male,33.0,33.0,33.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,"35.422583, -76.318183 ;",Shots Fired - No Injuries,Officer Involved Incident,13.6,,,,2017,
2015-11-13,New York,Cochecton,Mueller Road,41.7126,-74.9539,19.0,100.0,42.0,32.0,Adult 18+,Male,32.0,32.0,32.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,"escalated verbal altercation, shots fired with hunting rifle, no inj",Shots Fired - No Injuries,,13.2,,,,2015,
2017-08-13,New York,Patchogue (East Patchogue),290 Main St,40.766,-73.0055,1.0,7.0,3.0,,,,,,,,,,,,0.0,1.0,0.0,0.0,1.0,"worker shot breaking up fight;
40.766027, -73.005488 ;",Shot - Wounded/Injured,Bar/club incident - in or around establishment,12.1,,,,2017,
2015-08-13,Vermont,Alburgh,,44.9637,-73.2809,1.0,,,57.0,Adult 18+,Male,57.0,57.0,57.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,Accidental self-inflicted GSW to hand. Due to prior drug convictions he is prohibited from gun ownership. Savage was later arrested on drug charges.,Shot - Wounded/Injured,Accidental Shooting,10.2,,,,2015,
